字段,操作,原因,数量
实际控制人两权分离率,删除,缺失过高(45.93%),
管理层前三名薪酬总额,删除,缺失过高(39.37%),
管理层薪酬总额,删除,缺失过高(46.46%),
管理层持股比例,删除,缺失过高(34.38%),
董事会规模,删除,缺失过高(34.38%),
独立董事占比,删除,缺失过高(34.38%),
监事会规模,删除,缺失过高(34.38%),
高管人数,删除,缺失过高(34.38%),
管理层男性占比,删除,缺失过高(34.38%),
管理层平均年龄,删除,缺失过高(34.38%),
机构投资者持股比例,删除,缺失过高(37.01%),
股权集中指标1,删除,缺失过高(42.26%),
股权集中指标2,删除,缺失过高(42.26%),
股权集中指标3,删除,缺失过高(42.26%),
股权集中指标4,删除,缺失过高(42.26%),
Z指数,删除,缺失过高(42.26%),
S指数,删除,缺失过高(42.26%),
H指数,删除,缺失过高(42.26%),
Herfindahl_3指数,删除,缺失过高(42.26%),
Herfindahl_5指数,删除,缺失过高(42.26%),
Herfindahl_10指数,删除,缺失过高(42.26%),
处置子公司及其他营业单位收到的现金净额,删除,缺失过高(75.85%),
处置固定资产无形资产和其他长期资产收回的现金净额,删除,缺失过高(33.86%),
取得子公司及其他营业单位支付的现金净额,删除,缺失过高(80.31%),
研发费用率,删除,缺失过高(85.04%),
股东总数,删除,缺失过高(42.26%),
员工人数,删除,缺失过高(32.81%),
董事长持股比例,删除,缺失过高(36.22%),
总经理持股比例,删除,缺失过高(37.53%),
董事长与总经理兼任情况,删除,缺失过高(33.60%),
现金比率,删除,缺失过高(33.33%),
利息保障倍数A,删除,缺失过高(37.80%),
利息保障倍数B,删除,缺失过高(37.80%),
财务杠杆,删除,缺失过高(32.02%),
经营杠杆,删除,缺失过高(31.23%),
综合杠杆,删除,缺失过高(32.02%),
审计日期,删除,缺失过高(35.70%),
审计意见类型,删除,缺失过高(34.65%),
审计师,删除,缺失过高(35.70%),
境内审计事务所,删除,缺失过高(34.65%),
审计师是否来自国际四大,删除,缺失过高(34.65%),
审计师是否来自国内十大,删除,缺失过高(34.65%),
境内审计费用金额,删除,缺失过高(42.26%),
审计费用合计,删除,缺失过高(37.27%),
董事人数,删除,缺失过高(31.76%),
其中独立董事人数,删除,缺失过高(31.76%),
监管层持股数量,删除,缺失过高(31.76%),
股权性质,删除,缺失过高(44.88%),
月均超额换手率,删除,缺失过高(34.38%),
退市日期,删除,缺失过高(100.00%),
应收账款净额,补充缺失,线性插值,
其他应收款净额,补充缺失,线性插值,
存货净额,补充缺失,线性插值,
流动资产合计,补充缺失,线性插值,
非流动资产合计,补充缺失,线性插值,
流动负债合计,补充缺失,线性插值,
年个股总市值,补充缺失,线性插值,
考虑现金红利再投资的年个股回报率,补充缺失,线性插值,
不考虑现金红利再投资的年个股回报率,补充缺失,线性插值,
经营活动产生的现金流量净额,补充缺失,线性插值,
购建固定资产无形资产和其他长期资产支付的现金,补充缺失,线性插值,
销售费用率,补充缺失,线性插值,
管理费用率,补充缺失,线性插值,
财务费用率,补充缺失,线性插值,
流动资产比率,补充缺失,线性插值,
营运资金比率,补充缺失,线性插值,
营业外收入占比,补充缺失,线性插值,
综合税率A,补充缺失,线性插值,
综合税率B,补充缺失,线性插值,
所得税率,补充缺失,线性插值,
流动比率,补充缺失,线性插值,
速动比率,补充缺失,线性插值,
权益乘数2,补充缺失,线性插值,
资本保值增值率,补充缺失,线性插值,
资本积累率,补充缺失,线性插值,
资本密集度,补充缺失,线性插值,
总资产净利润率ROAB,补充缺失,线性插值,
净资产收益率ROEB,补充缺失,线性插值,
销售期间费用率TTM,补充缺失,线性插值,
市盈率PETTM,补充缺失,线性插值,
市净率PB,补充缺失,线性插值,
市盈率母公司PETTM,补充缺失,线性插值,
托宾Q值,补充缺失,线性插值,
营业收入,补充缺失,线性插值,
营业成本,补充缺失,线性插值,
管理费用,补充缺失,线性插值,
利润总额,补充缺失,线性插值,
净利润,补充缺失,线性插值,
总资产周转率B,补充缺失,线性插值,
总资产增长率B,补充缺失,线性插值,
营业收入增长率B,补充缺失,线性插值,
不考虑现金红利再投资的年个股回报率,标准化,MinMax,
产权比率,标准化,RobustScaler,
其他应收款净额,标准化,RobustScaler,
净利润,标准化,RobustScaler,
净资产收益率ROEB,标准化,MinMax,
利润总额,标准化,RobustScaler,
固定资产净额,标准化,RobustScaler,
存货净额,标准化,RobustScaler,
实收资本或股本,标准化,RobustScaler,
市净率PB,标准化,RobustScaler,
市盈率PETTM,标准化,RobustScaler,
市盈率母公司PETTM,标准化,RobustScaler,
年个股总市值,标准化,RobustScaler,
应收账款净额,标准化,RobustScaler,
总资产净利润率ROAB,标准化,RobustScaler,
总资产周转率B,标准化,MinMax,
总资产增长率B,标准化,RobustScaler,
所得税率,标准化,RobustScaler,
所有者权益比率,标准化,Z-Score,
托宾Q值,标准化,RobustScaler,
无形资产比率,标准化,RobustScaler,
有形资产比率,标准化,RobustScaler,
权益乘数,标准化,RobustScaler,
权益乘数2,标准化,BoxCox,
流动比率,标准化,RobustScaler,
流动负债合计,标准化,RobustScaler,
流动资产合计,标准化,RobustScaler,
流动资产比率,标准化,MinMax,
管理费用,标准化,RobustScaler,
管理费用率,标准化,MinMax,
经营活动产生的现金流量净额,标准化,RobustScaler,
综合税率A,标准化,MinMax,
综合税率B,标准化,RobustScaler,
考虑现金红利再投资的年个股回报率,标准化,MinMax,
营业外收入占比,标准化,RobustScaler,
营业成本,标准化,RobustScaler,
营业收入,标准化,RobustScaler,
营业收入增长率B,标准化,RobustScaler,
营运资金比率,标准化,Z-Score,
负债合计,标准化,RobustScaler,
财务费用率,标准化,RobustScaler,
购建固定资产无形资产和其他长期资产支付的现金,标准化,RobustScaler,
资产总计,标准化,RobustScaler,
资本保值增值率,标准化,RobustScaler,
资本密集度,标准化,RobustScaler,
资本积累率,标准化,RobustScaler,
速动比率,标准化,RobustScaler,
销售期间费用率TTM,标准化,RobustScaler,
销售费用率,标准化,RobustScaler,
长期负债权益比率,标准化,RobustScaler,
长期资本负债率,标准化,MinMax,
非流动资产合计,标准化,RobustScaler,
不考虑现金红利再投资的年个股回报率,异常值处理,保持原样,20.0
产权比率,异常值处理,保持原样,51.0
其他应收款净额,异常值处理,保持原样,26.0
净利润,异常值处理,保持原样,72.0
净资产收益率ROEB,异常值处理,保持原样,49.0
利润总额,异常值处理,保持原样,71.0
固定资产净额,异常值处理,保持原样,34.0
存货净额,异常值处理,保持原样,50.0
实收资本或股本,异常值处理,保持原样,35.0
市净率PB,异常值处理,保持原样,19.0
市盈率PETTM,异常值处理,保持原样,65.0
市盈率母公司PETTM,异常值处理,保持原样,69.0
年个股总市值,异常值处理,保持原样,53.0
应收账款净额,异常值处理,保持原样,36.0
总资产净利润率ROAB,异常值处理,保持原样,45.0
总资产周转率B,异常值处理,保持原样,23.0
总资产增长率B,异常值处理,保持原样,32.0
所得税率,异常值处理,保持原样,12.0
所有者权益比率,异常值处理,保持原样,1.0
托宾Q值,异常值处理,保持原样,17.0
无形资产比率,异常值处理,保持原样,43.0
有形资产比率,异常值处理,保持原样,30.0
权益乘数,异常值处理,保持原样,54.0
流动比率,异常值处理,保持原样,34.0
流动负债合计,异常值处理,保持原样,39.0
流动资产合计,异常值处理,保持原样,36.0
流动资产比率,异常值处理,保持原样,25.0
管理费用,异常值处理,保持原样,34.0
管理费用率,异常值处理,保持原样,18.0
经营活动产生的现金流量净额,异常值处理,保持原样,86.0
综合税率A,异常值处理,保持原样,31.0
综合税率B,异常值处理,保持原样,23.0
考虑现金红利再投资的年个股回报率,异常值处理,保持原样,21.0
营业外收入占比,异常值处理,保持原样,91.0
营业成本,异常值处理,保持原样,27.0
营业收入,异常值处理,保持原样,26.0
营业收入增长率B,异常值处理,保持原样,27.0
营运资金比率,异常值处理,保持原样,3.0
负债合计,异常值处理,保持原样,60.0
财务费用率,异常值处理,保持原样,18.0
购建固定资产无形资产和其他长期资产支付的现金,异常值处理,保持原样,48.0
资产总计,异常值处理,保持原样,62.0
资本保值增值率,异常值处理,保持原样,67.0
资本密集度,异常值处理,保持原样,61.0
资本积累率,异常值处理,保持原样,67.0
速动比率,异常值处理,保持原样,41.0
销售期间费用率TTM,异常值处理,保持原样,23.0
销售费用率,异常值处理,保持原样,20.0
长期负债权益比率,异常值处理,保持原样,18.0
长期资本负债率,异常值处理,保持原样,7.0
非流动资产合计,异常值处理,保持原样,27.0
资本保值增值率,删除,高基数冗余,
净资产收益率ROEB,删除,高基数冗余,
营运资金比率,删除,高基数冗余,
负债合计,删除,高基数冗余,
总资产增长率B,删除,高基数冗余,
营业收入增长率B,删除,高基数冗余,
产权比率,删除,高基数冗余,
速动比率,删除,高基数冗余,
资产总计,删除,高基数冗余,
非流动资产合计,删除,高基数冗余,
综合税率A,删除,高基数冗余,
净利润,删除,高基数冗余,
