字段,操作,原因,数量
应收账款净额,删除,缺失过高(37.14%),
其他应收款净额,删除,缺失过高(68.57%),
存货净额,删除,缺失过高(71.43%),
流动资产合计,删除,缺失过高(80.00%),
非流动资产合计,删除,缺失过高(80.00%),
流动负债合计,删除,缺失过高(80.00%),
实际控制人两权分离率,删除,缺失过高(54.29%),
管理层前三名薪酬总额,删除,缺失过高(37.14%),
管理层薪酬总额,删除,缺失过高(42.86%),
股权集中指标1,删除,缺失过高(37.14%),
股权集中指标2,删除,缺失过高(37.14%),
股权集中指标3,删除,缺失过高(37.14%),
股权集中指标4,删除,缺失过高(37.14%),
Z指数,删除,缺失过高(37.14%),
S指数,删除,缺失过高(37.14%),
H指数,删除,缺失过高(37.14%),
Herfindahl_3指数,删除,缺失过高(37.14%),
Herfindahl_5指数,删除,缺失过高(37.14%),
Herfindahl_10指数,删除,缺失过高(37.14%),
处置子公司及其他营业单位收到的现金净额,删除,缺失过高(97.14%),
处置固定资产无形资产和其他长期资产收回的现金净额,删除,缺失过高(34.29%),
取得子公司及其他营业单位支付的现金净额,删除,缺失过高(97.14%),
管理费用率,删除,缺失过高(85.71%),
财务费用率,删除,缺失过高(85.71%),
研发费用率,删除,缺失过高(100.00%),
股东总数,删除,缺失过高(37.14%),
董事长持股比例,删除,缺失过高(42.86%),
总经理持股比例,删除,缺失过高(42.86%),
董事长与总经理兼任情况,删除,缺失过高(31.43%),
流动资产比率,删除,缺失过高(80.00%),
营运资金比率,删除,缺失过高(80.00%),
流动比率,删除,缺失过高(91.43%),
速动比率,删除,缺失过高(91.43%),
现金比率,删除,缺失过高(100.00%),
利息保障倍数A,删除,缺失过高(97.14%),
利息保障倍数B,删除,缺失过高(97.14%),
财务杠杆,删除,缺失过高(85.71%),
经营杠杆,删除,缺失过高(85.71%),
综合杠杆,删除,缺失过高(85.71%),
销售期间费用率TTM,删除,缺失过高(85.71%),
营业收入,删除,缺失过高(91.43%),
营业成本,删除,缺失过高(91.43%),
管理费用,删除,缺失过高(85.71%),
股权性质,删除,缺失过高(40.00%),
退市日期,删除,缺失过高(100.00%),
管理层持股比例,补充缺失,线性插值,
董事会规模,补充缺失,线性插值,
独立董事占比,补充缺失,线性插值,
监事会规模,补充缺失,线性插值,
高管人数,补充缺失,线性插值,
管理层男性占比,补充缺失,线性插值,
管理层平均年龄,补充缺失,线性插值,
机构投资者持股比例,补充缺失,线性插值,
年个股总市值,补充缺失,线性插值,
考虑现金红利再投资的年个股回报率,补充缺失,线性插值,
不考虑现金红利再投资的年个股回报率,补充缺失,线性插值,
经营活动产生的现金流量净额,补充缺失,线性插值,
购建固定资产无形资产和其他长期资产支付的现金,补充缺失,线性插值,
销售费用率,补充缺失,线性插值,
员工人数,补充缺失,线性插值,
营业外收入占比,补充缺失,线性插值,
